Latitude,Longitude,Name,Location,Capacity,Floors,Toilets Available,Drinking Water,Power Backup,Ramp for Disabled,Caretaker Name,Mobile,Last Updated
15.48455,73.824806,"Altinho, Tiswadi",-,-,-,-,-,-,-,-,-,-
15.269483,73.969467,"Aquem, Salcete",-,-,-,-,-,-,-,-,-,-
15.024336,74.044058,"Chapoli, Canacona",-,-,-,-,-,-,-,-,-,-
15.358011,73.902733,"Cuelim, Mormugao",-,-,-,-,-,-,-,-,-,-
15.388903,73.851006,"Dabolim, Mormugao",-,-,-,-,-,-,-,-,-,-
15.671033,73.7136,"Junaswada, Pernem",-,-,-,-,-,-,-,-,-,-
14.973944,74.071056,"Mahalwada, Canacona",-,-,-,-,-,-,-,-,-,-
15.011339,74.034339,"Nagarcem, Canacona",-,-,-,-,-,-,-,-,-,-
15.532742,73.793806,"Pilerne, Bardez",-,-,-,-,-,-,-,-,-,-
15.522828,73.829639,"Porvorim, Bardez",-,-,-,-,-,-,-,-,-,-
15.374481,73.885683,"Zuarinagar, Mormugao",-,-,-,-,-,-,-,-,-,-