Latitude,Longitude,Type,Location,Owner
15.358100,73.948700,Fire Hydrant,"Behind Marine Electrical, Verna Industrial Estate, Verna Goa,  403722",Directorate of Fire & Emergency
15.187000,74.029700,Fire Hydrant,Cuncolim industrial estate,Directorate of Fire & Emergency
15.184600,74.026000,Fire Hydrant,Cuncolim industrial estate,Directorate of Fire & Emergency
15.181000,74.025300,Fire Hydrant,Cuncolim industrial estate,Directorate of Fire & Emergency
15.181100,74.032300,Fire Hydrant,Cuncolim industrial estate. ,Directorate of Fire & Emergency
15.260600,74.103300,Fire Hydrant,Fire Station Curchorem ,Directorate of Fire & Emergency
15.269200,73.970300,Fire Hydrant,Fire Station Margao,Directorate of Fire & Emergency
15.399600,73.820000,Fire Hydrant,Fire Station Vasco,Directorate of Fire & Emergency
15.361700,73.953300,Fire Hydrant,h1 near gati courrier verna industrial estate ,Directorate of Fire & Emergency
15.582600,73.954300,Fire Hydrant,IDC Bicholim near Mamta Canteen,Directorate of Fire & Emergency
15.184800,74.028000,Fire Hydrant,"M-21, Cuncolim industrial estate",Directorate of Fire & Emergency
15.589700,73.811000,Fire Hydrant,Mapusa Bar Near Taxi Stand Mapusa Goa,Directorate of Fire & Emergency
15.588800,73.811100,Fire Hydrant,Market Road Mapusa Municipal Market Mapusa Goa 403507 ,Directorate of Fire & Emergency
15.374100,73.948100,Fire Hydrant,"Near B.P.C.L. Company, Verna Industrial Estate, Verna Goa, 403722",Directorate of Fire & Emergency
15.584200,73.952600,Fire Hydrant,NEAR Blue Cube,Directorate of Fire & Emergency
15.366400,73.950900,Fire Hydrant,"Near Chaugule Work Shop, Verna Industrial Estate, Verna Goa,   403722",Directorate of Fire & Emergency
15.367300,73.938100,Fire Hydrant,"Near Cipla Gate (VII A), Verna Industrial Estate, Verna Goa, 403722",Directorate of Fire & Emergency
15.371400,73.947200,Fire Hydrant,"Near Coco-Cola LTD, Verna Industrial Estate, verna Goa, 403722",Directorate of Fire & Emergency
15.714200,73.797500,Fire Hydrant,"Near Court, Pernem",Directorate of Fire & Emergency
15.369500,73.936100,Fire Hydrant,"Near Fire Station, Verna Industrial Estate, verna Goa,  403722",Directorate of Fire & Emergency
15.583300,73.953000,Fire Hydrant,Near Grand Organic,Directorate of Fire & Emergency
15.370800,73.935400,Fire Hydrant,"Near herald Printing Press, verna Industrial Estate, verna Goa, 403722",Directorate of Fire & Emergency
15.362900,73.946300,Fire Hydrant,Near Hp godown verna industrial estate verna,Directorate of Fire & Emergency
15.363500,73.952100,Fire Hydrant,"Near Iron Exchange, Verna Industrial Estate, Verna Goa, 403722",Directorate of Fire & Emergency
15.603600,73.935700,Fire Hydrant,Near ITI ,Directorate of Fire & Emergency
15.587500,73.953000,Fire Hydrant,Near ITI,Directorate of Fire & Emergency
15.585500,73.953200,Fire Hydrant,Near Koteshwar Engg.works,Directorate of Fire & Emergency
15.581500,73.955000,Fire Hydrant,Near M/s DPS Fabricator Works IDC,Directorate of Fire & Emergency
15.590200,73.808900,Fire Hydrant,Near Mapusa Fire Station,Directorate of Fire & Emergency
15.357500,73.949600,Fire Hydrant,"Near Marine Electrical (Phase IV), Verna Industrial Estate, Verna Goa, 403722",Directorate of Fire & Emergency
15.364300,73.974200,Fire Hydrant,"Near Mobilo Diagnostics, Verna Industrial Estate, Verna Goa,  403722",Directorate of Fire & Emergency
15.583800,73.952800,Fire Hydrant,Near Papers Products Ltd,Directorate of Fire & Emergency
15.274400,73.956900,Fire Hydrant,Near Police station,Directorate of Fire & Emergency
15.583800,73.952800,Fire Hydrant,Near Prime Paper Ltd.,Directorate of Fire & Emergency
15.581600,73.953500,Fire Hydrant,Near Raynau Engg.works,Directorate of Fire & Emergency
15.360500,73.953100,Fire Hydrant,"Near Rogerberger Company, Verna Industrial Estate, verna Goa, 403722",Directorate of Fire & Emergency
15.581400,73.956400,Fire Hydrant,Near Rolling Mill,Directorate of Fire & Emergency
15.585200,73.952400,Fire Hydrant,Near S.B.Fabricators,Directorate of Fire & Emergency
15.581500,73.955000,Fire Hydrant,Near S.K.Electric,Directorate of Fire & Emergency
15.584000,73.953400,Fire Hydrant,Near to Jayshree Industries,Directorate of Fire & Emergency
15.583200,73.954800,Fire Hydrant,Near Venus Ethoxy Ltd .Office,Directorate of Fire & Emergency
15.582900,73.952700,Fire Hydrant,Near Venus Ethoxy ltd.Gate no.5,Directorate of Fire & Emergency
15.582600,73.955500,Fire Hydrant,"Near Venus Ethoxy ltd.plot no 105,111,116",Directorate of Fire & Emergency
15.498300,73.931200,Fire Hydrant,"opp Progress Industries, Plot No.c-26,27",Directorate of Fire & Emergency
15.365400,73.941100,Fire Hydrant,"Opp. Sanofi Company, Verna Industrial Estate, Verna Goa, 403722",Directorate of Fire & Emergency
15.583800,73.954800,Fire Hydrant,Opp.Goa Thermostat,Directorate of Fire & Emergency
15.500200,73.930500,Fire Hydrant,"opp.Scoop Industries Pvt, plot No.13, Corlim Industrial Estate, Corlim",Directorate of Fire & Emergency
15.583300,73.953900,Fire Hydrant,Opposite to Alphagam,Directorate of Fire & Emergency
15.580900,73.956800,Fire Hydrant,Opposite to Goa Distelleries,Directorate of Fire & Emergency
15.580500,73.955500,Fire Hydrant,Opposite to Gurukrupa Auto World,Directorate of Fire & Emergency
15.580400,73.955500,Fire Hydrant,Opposite to Pro Art ,Directorate of Fire & Emergency
15.181700,74.030000,Fire Hydrant,"Plot No L-28, cuncolim industrial estate",Directorate of Fire & Emergency
15.183500,74.027300,Fire Hydrant,Plot: SB-20 Cuncolim industrial estate,Directorate of Fire & Emergency
15.403200,74.002700,Fire Hydrant,Ponda Fire Station,Directorate of Fire & Emergency
15.402800,74.003000,Fire Hydrant,PONDA FIRE STATION,Directorate of Fire & Emergency
15.587800,73.812200,Fire Hydrant,"Prstige Arcade,Market Road, Morod Mapusa Goa 403507 INdia",Directorate of Fire & Emergency
15.588300,73.811700,Fire Hydrant,"Shop No.171 Municipal Market, New Municipal Market Mapusa Goa 403507 India",Directorate of Fire & Emergency
15.588700,73.811100,Fire Hydrant,"Stall No.87/88 Municipal Market, New Municipal Market Mapusa 403507 India",Directorate of Fire & Emergency
15.532000,73.990100,Ground Level Reservoir,Amona ,Water Resources Department
15.462900,73.972600,Ground Level Reservoir,At kundaim fire station  premises ,Water Resources Department
15.260600,74.103400,Ground Level Reservoir,Fire Station Curchorem,Water Resources Department
15.486200,73.817200,Ground Level Reservoir,Fire Station Panaji,Water Resources Department
15.404700,73.800300,Ground Level Reservoir,Ganesh Benzoplast,Water Resources Department
15.260900,74.007500,Ground Level Reservoir,Goa Carbon Ltd. Near Govt.Primary School Nessai,Water Resources Department
15.583900,73.953400,Ground Level Reservoir,IDC Bicholim,Water Resources Department
15.397500,73.806800,Ground Level Reservoir,Indian Oil Corporation,Water Resources Department
15.568900,74.001600,Ground Level Reservoir,Karapur ,Water Resources Department
15.571400,73.994900,Ground Level Reservoir,Kodal Karapur,Water Resources Department
15.586900,73.942400,Ground Level Reservoir,Lamgao ,Water Resources Department
15.385500,73.817500,Ground Level Reservoir,"Mangor, PWD Tanks",Water Resources Department
15.589700,73.809200,Ground Level Reservoir,Mapusa Fire Station,Water Resources Department
15.620400,73.908000,Ground Level Reservoir,Mulgao,Water Resources Department
15.278000,73.962100,Ground Level Reservoir,Near Junta Quarters,Water Resources Department
15.460800,73.963100,Ground Level Reservoir,"Near kundil factory ,opp acc alcon",Water Resources Department
15.484400,73.816100,Ground Level Reservoir,"Near Training Ground, Fire Force Headquarters",Water Resources Department
15.373100,73.928300,Ground Level Reservoir,"Near WRD Verna Industrial estate, Verna Goa, 403722",Water Resources Department
15.618700,73.919200,Ground Level Reservoir,Nestle India Ltd,Water Resources Department
15.619600,73.966200,Ground Level Reservoir,Nestle India Ltd.,Water Resources Department
15.557600,74.016000,Ground Level Reservoir,PHC junction Sankhali,Water Resources Department
15.533100,73.794000,Ground Level Reservoir,"Pilerne Fire Station, Near Pilerne Industrial Estate, Pilerne",Water Resources Department
15.557300,73.950800,Ground Level Reservoir,Pilgao,Water Resources Department
15.574700,73.992800,Ground Level Reservoir,sarvan,Water Resources Department
15.605000,73.897400,Ground Level Reservoir,Shirgao ,Water Resources Department
15.485300,74.032400,Ground Level Reservoir,surla,Water Resources Department
15.260400,74.009000,Ground Level Reservoir,Tech Force composite Pvt. Ltd,Water Resources Department
15.389400,74.027200,Ground Level Reservoir,United Spirits,Water Resources Department
15.495200,74.039800,Ground Level Reservoir,Velguem ,Water Resources Department
15.533200,74.151200,Ground Level Reservoir,Water Treatment Plant Dabos Valpoi  Sattari Goa.,Water Resources Department
15.410600,74.054000,Open Water Source,"130 MLD Plant, Opa Khandepar",Water Resources Department
15.730200,73.897400,Open Water Source,"15 mld Water Plant Chandel, Pernem Goa.",Water Resources Department
15.187300,74.024100,Open Water Source,Cuncolim industrial estate,GIDC
15.575700,73.940700,Open Water Source,Mayem Lake,Water Resources Department
15.265400,73.938700,Open Water Source,"Monddo, Benaulim",Water Resources Department
15.284200,73.930600,Open Water Source,near our lady of Amparo chapel ,Water Resources Department
15.397400,73.836200,Open Water Source,Near Sai Service,Water Resources Department
15.170000,74.007800,Open Water Source,"Nr. Masjid Demani, Cuncolim",Water Resources Department
15.183100,74.006000,Open Water Source,Sumul milk collection center savarcotto cuncolim,Sumul Milk
15.497900,73.917000,Overhead Reservoir,"ICAR, ELLA, Goa","ICAR, Ella"
15.492400,73.920700,Overhead Reservoir,"Krishi Vigyan Kendra, ICAR, Ella Farm, OldGoa",Krishi Vigyan
15.462900,73.972700,Overhead Reservoir,Kundaim fire station premises,Directorate of Fire & Emergency
15.006700,74.070900,Overhead Reservoir,Mokhard,Water Resources Department
15.006700,74.070900,Overhead Reservoir,"Mokhard, Shristhal ",Water Resources Department
15.530900,74.138700,Overhead Reservoir,Near Fire Station Valpoi,Directorate of Fire & Emergency
15.361700,73.953300,Overhead Reservoir,"Near Iron Exchange, Verna Industrial Estate, Verna",GIDC
15.589700,73.809200,Overhead Reservoir,Near Mapusa Fire Station,Directorate of Fire & Emergency
15.533100,73.794000,Overhead Reservoir,"Pilerne Fire Station, Near Pilerne Industrial Estate, Pilerne",Directorate of Fire & Emergency
15.487600,73.829000,Overhead Reservoir,PWD  Altinho,Water Resources Department
15.373100,73.928300,Overhead Reservoir,"WRD Verna, Verna Industrial Estate, Verna Goa. 403722",Water Resources Department